eth_src,eth_dst,eth_type,ip_version,ip_ihl,ip_tos,ip_len,ip_id,ip_flags,ip_frag,ip_ttl,ip_proto,ip_chksum,ip_src,ip_dst,udp_sport,udp_dport,udp_len,udp_chksum,timestamp,length,summary
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,961,1,,0,64,17,21222,10.1.10.53,84.54.22.33,53,53,941,62990,1532199330.917674,975,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,58919,,0,122,17,13836,84.54.22.33,10.1.10.53,53,53,64,65061,1532199330.950107,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,975,1,,0,64,17,21208,10.1.10.53,84.54.22.33,53,53,955,36378,1532199331.937777,989,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,59493,,0,122,17,13262,84.54.22.33,10.1.10.53,53,53,64,65063,1532199331.956635,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1012,1,,0,64,17,21171,10.1.10.53,84.54.22.33,53,53,992,63846,1532199332.960504,1026,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,59660,,0,122,17,13095,84.54.22.33,10.1.10.53,53,53,64,65064,1532199332.971509,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,998,1,,0,64,17,21185,10.1.10.53,84.54.22.33,53,53,978,65315,1532199333.982248,1012,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,60495,,0,122,17,12260,84.54.22.33,10.1.10.53,53,53,64,65065,1532199333.993114,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1003,1,,0,64,17,21180,10.1.10.53,84.54.22.33,53,53,983,38088,1532199335.003376,1017,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,60889,,0,122,17,11866,84.54.22.33,10.1.10.53,53,53,64,65066,1532199335.028202,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1045,1,,0,64,17,21138,10.1.10.53,84.54.22.33,53,53,1025,5707,1532199336.021501,1059,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,61243,,0,122,17,11512,84.54.22.33,10.1.10.53,53,53,64,65067,1532199336.040822,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1008,1,,0,64,17,21175,10.1.10.53,84.54.22.33,53,53,988,31270,1532199337.041202,1022,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,62210,,0,122,17,10545,84.54.22.33,10.1.10.53,53,53,64,65068,1532199337.052999,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,979,1,,0,64,17,21204,10.1.10.53,84.54.22.33,53,53,959,11600,1532199338.058108,993,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,62674,,0,122,17,10081,84.54.22.33,10.1.10.53,53,53,64,65069,1532199338.068566,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,959,1,,0,64,17,21224,10.1.10.53,84.54.22.33,53,53,939,7922,1532199339.078320,973,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,63672,,0,122,17,9083,84.54.22.33,10.1.10.53,53,53,64,65070,1532199339.139649,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,992,1,,0,64,17,21191,10.1.10.53,84.54.22.33,53,53,972,22145,1532199340.094091,1006,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,64011,,0,122,17,8744,84.54.22.33,10.1.10.53,53,53,64,65071,1532199340.110409,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1051,1,,0,64,17,21132,10.1.10.53,84.54.22.33,53,53,1031,51210,1532199341.114699,1065,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,64328,,0,122,17,8427,84.54.22.33,10.1.10.53,53,53,64,65072,1532199341.156524,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,65,52414,,0,64,17,802,10.1.10.53,75.75.75.75,15812,53,45,59,1532199341.961205,79,Ether / IP / UDP / DNS Qry b'clients4.google.com.'
